date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_team_clean,away_team_clean,result
2020-09-08,Belgium,Iceland,5,1,European Nations League A,,Belgium,False,Belgium,Iceland,home_win
2020-09-08,Denmark,England,0,0,European Nations League A,,Denmark,False,Denmark,England,draw
2020-09-08,Sweden,Portugal,0,2,European Nations League A,,Sweden,False,Sweden,Portugal,away_win
2020-09-30,Mexico,Guatemala,3,0,Friendly,,Mexico,False,Mexico,Guatemala,home_win
2020-10-07,Andorra,Cape Verde,1,2,Friendly,,Andorra,False,Andorra,Cabo Verde,away_win
2020-10-07,Netherlands,Mexico,0,1,Friendly,,Netherlands,False,Netherlands,Mexico,away_win
2020-10-07,France,Ukraine,7,1,Friendly,,France,False,France,Ukraine,home_win
2020-10-07,Austria,Greece,2,1,Friendly,,Austria,False,Austria,Greece,home_win
2020-10-07,Germany,Turkey,3,3,Friendly,,Germany,False,Germany,Türkiye,draw
2020-10-07,Portugal,Spain,0,0,Friendly,,Portugal,False,Portugal,Spain,draw
2020-10-07,Switzerland,Croatia,1,2,Friendly,,Switzerland,False,Switzerland,Croatia,away_win
2020-10-08,Norway,Serbia,1,2,European Championship qual,,Norway,False,Norway,Serbia,away_win
2020-10-08,Paraguay,Peru,2,2,World Cup qualifier,,Paraguay,False,Paraguay,Peru,draw
2020-10-08,Scotland,Israel,0,0,European Championship qual,,Scotland,False,Scotland,Israel,draw
2020-10-08,Argentina,Ecuador,1,0,World Cup qualifier,,Argentina,False,Argentina,Ecuador,home_win
2020-10-08,Uruguay,Chile,2,1,World Cup qualifier,,Uruguay,False,Uruguay,Chile,home_win
2020-10-08,Belgium,Ivory Coast,1,1,Friendly,,Belgium,False,Belgium,Côte d'Ivoire,draw
2020-10-08,South Africa,Namibia,1,1,Friendly,,South Africa,False,South Africa,Namibia,draw
2020-10-08,Uzbekistan,Iran,1,2,Friendly,,Uzbekistan,False,Uzbekistan,IR Iran,away_win
2020-10-08,England,Wales,3,0,Friendly,,England,False,England,Wales,home_win
2020-10-09,Mali,Ghana,3,0,Friendly,,Turkey,True,Mali,Ghana,home_win
2020-10-09,Cameroon,Japan,0,0,Friendly,,Netherlands,True,Cameroon,Japan,draw
2020-10-09,Algeria,Nigeria,1,0,Friendly,,Austria,True,Algeria,Nigeria,home_win
2020-10-09,Tunisia,Sudan,3,0,Friendly,,Tunisia,False,Tunisia,Sudan,home_win
2020-10-09,Brazil,Bolivia,5,0,World Cup qualifier,,Brazil,False,Brazil,Bolivia,home_win
2020-10-09,Colombia,Venezuela,3,0,World Cup qualifier,,Colombia,False,Colombia,Venezuela,home_win
2020-10-09,Morocco,Senegal,3,1,Friendly,,Morocco,False,Morocco,Senegal,home_win
2020-10-10,Ukraine,Germany,1,2,European Nations League A,,Ukraine,False,Ukraine,Germany,away_win
2020-10-10,Costa Rica,Panama,0,1,Friendly,,Costa Rica,False,Costa Rica,Panama,away_win
2020-10-10,Guinea,Cape Verde,2,1,Friendly,,Portugal,True,Guinea,Cabo Verde,home_win
2020-10-10,Spain,Switzerland,1,0,European Nations League A,,Spain,False,Spain,Switzerland,home_win
2020-10-11,Croatia,Sweden,2,1,European Nations League A,,Croatia,False,Croatia,Sweden,home_win
2020-10-11,South Africa,Zambia,1,2,Friendly,,South Africa,False,South Africa,Zambia,away_win
2020-10-11,Scotland,Slovakia,1,0,European Nations League B,,Scotland,False,Scotland,Slovakia,home_win
2020-10-11,England,Belgium,2,1,European Nations League A,,England,False,England,Belgium,home_win
2020-10-11,Bosnia and Herzegovina,Netherlands,0,0,European Nations League A,,Bosnia and Herzegovina,False,Bosnia and Herzegovina,Netherlands,draw
2020-10-11,France,Portugal,0,0,European Nations League A,,France,False,France,Portugal,draw
2020-10-11,Norway,Romania,4,0,European Nations League B,,Norway,False,Norway,Romania,home_win
2020-10-11,Northern Ireland,Austria,0,1,European Nations League B,,Northern Ireland,False,Northern Ireland,Austria,away_win
2020-10-12,Ghana,Qatar,5,1,Friendly,,Turkey,True,Ghana,Qatar,home_win
2020-10-12,United Arab Emirates,Uzbekistan,1,2,Friendly,,United Arab Emirates,False,United Arab Emirates,Uzbekistan,away_win
2020-10-13,Costa Rica,Panama,0,1,Friendly,,Costa Rica,False,Costa Rica,Panama,away_win
2020-10-13,Japan,Ivory Coast,1,0,Friendly,,Netherlands,True,Japan,Côte d'Ivoire,home_win
2020-10-13,Chile,Colombia,2,2,World Cup qualifier,,Chile,False,Chile,Colombia,draw
2020-10-13,Morocco,DR Congo,1,1,Friendly,,Morocco,False,Morocco,DR Congo,draw
2020-10-13,Nigeria,Tunisia,1,1,Friendly,,Austria,True,Nigeria,Tunisia,draw
2020-10-13,Ecuador,Uruguay,4,2,World Cup qualifier,,Ecuador,False,Ecuador,Uruguay,home_win
2020-10-13,Ukraine,Spain,1,0,European Nations League A,,Ukraine,False,Ukraine,Spain,home_win
2020-10-13,Algeria,Mexico,2,2,Friendly,,Netherlands,True,Algeria,Mexico,draw
2020-10-13,Venezuela,Paraguay,0,1,World Cup qualifier,,Venezuela,False,Venezuela,Paraguay,away_win
2020-10-13,Bolivia,Argentina,1,2,World Cup qualifier,,Bolivia,False,Bolivia,Argentina,away_win
2020-10-13,Peru,Brazil,2,4,World Cup qualifier,,Peru,False,Peru,Brazil,away_win
2020-10-13,Germany,Switzerland,3,3,European Nations League A,,Germany,False,Germany,Switzerland,draw
2020-10-14,Italy,Netherlands,1,1,European Nations League A,,Italy,False,Italy,Netherlands,draw
2020-10-14,Croatia,France,1,2,European Nations League A,,Croatia,False,Croatia,France,away_win
2020-10-14,Iceland,Belgium,1,2,European Nations League A,,Iceland,False,Iceland,Belgium,away_win
2020-10-14,Romania,Austria,0,1,European Nations League B,,Romania,False,Romania,Austria,away_win
2020-10-14,Norway,Northern Ireland,1,0,European Nations League B,,Norway,False,Norway,Northern Ireland,home_win
2020-10-14,England,Denmark,0,1,European Nations League A,,England,False,England,Denmark,away_win
2020-10-14,Scotland,Czechia,1,0,European Nations League B,,Scotland,False,Scotland,Czechia,home_win
2020-10-14,Portugal,Sweden,3,0,European Nations League A,,Portugal,False,Portugal,Sweden,home_win
2020-11-11,Luxembourg,Austria,0,3,Friendly,,Luxembourg,False,Luxembourg,Austria,away_win
2020-11-11,Germany,Czechia,1,0,Friendly,,Germany,False,Germany,Czechia,home_win
2020-11-11,Netherlands,Spain,1,1,Friendly,,Netherlands,False,Netherlands,Spain,draw
2020-11-11,France,Finland,0,2,Friendly,,France,False,France,Finland,away_win
2020-11-11,Portugal,Andorra,7,0,Friendly,,Portugal,False,Portugal,Andorra,home_win
2020-11-11,Senegal,Guinea-Bissau,2,0,African Nations Cup qualifier,,Senegal,False,Senegal,Guinea-Bissau,home_win
2020-11-11,Turkey,Croatia,3,3,Friendly,,Turkey,False,Türkiye,Croatia,draw
2020-11-11,Belgium,Switzerland,2,1,Friendly,,Belgium,False,Belgium,Switzerland,home_win
2020-11-12,Ghana,Sudan,2,0,African Nations Cup qualifier,,Ghana,False,Ghana,Sudan,home_win
2020-11-12,Ivory Coast,Madagascar,2,1,African Nations Cup qualifier,,Ivory Coast,False,Côte d'Ivoire,Madagascar,home_win
2020-11-12,Algeria,Zimbabwe,3,1,African Nations Cup qualifier,,Algeria,False,Algeria,Zimbabwe,home_win
2020-11-12,Iraq,Jordan,0,0,Friendly,,United Arab Emirates,True,Iraq,Jordan,draw
2020-11-12,Syria,Uzbekistan,1,0,Friendly,,United Arab Emirates,True,Syria,Uzbekistan,home_win
2020-11-12,Bosnia and Herzegovina,Iran,0,2,Friendly,,Bosnia and Herzegovina,False,Bosnia and Herzegovina,IR Iran,away_win
2020-11-12,Cape Verde,Rwanda,0,0,African Nations Cup qualifier,,Cape Verde,False,Cabo Verde,Rwanda,draw
2020-11-12,Argentina,Paraguay,1,1,World Cup qualifier,,Argentina,False,Argentina,Paraguay,draw
2020-11-12,Bolivia,Ecuador,2,3,World Cup qualifier,,Bolivia,False,Bolivia,Ecuador,away_win
2020-11-12,Serbia,Scotland,1,1,European Championship qual,,Serbia,False,Serbia,Scotland,draw
2020-11-12,England,Ireland,3,0,Friendly,,England,False,England,Ireland,home_win
2020-11-12,Wales,United States,0,0,Friendly,,Wales,False,Wales,USA,draw
2020-11-13,Japan,Panama,1,0,Friendly,,Austria,True,Japan,Panama,home_win
2020-11-13,South Africa,São Tomé and Príncipe,2,0,African Nations Cup qualifier,,South Africa,False,South Africa,São Tomé and Príncipe,home_win
2020-11-13,Tunisia,Tanzania,1,0,African Nations Cup qualifier,,Tunisia,False,Tunisia,Tanzania,home_win
2020-11-13,Costa Rica,Qatar,1,1,Friendly,,Austria,True,Costa Rica,Qatar,draw
2020-11-13,Brazil,Venezuela,1,0,World Cup qualifier,,Brazil,False,Brazil,Venezuela,home_win
2020-11-13,Morocco,Central African Republic,4,1,African Nations Cup qualifier,,Morocco,False,Morocco,Central African Republic,home_win
2020-11-13,Colombia,Uruguay,0,3,World Cup qualifier,,Colombia,False,Colombia,Uruguay,away_win
2020-11-14,Sweden,Croatia,2,1,European Nations League A,,Sweden,False,Sweden,Croatia,home_win
2020-11-14,Germany,Ukraine,3,1,European Nations League A,,Germany,False,Germany,Ukraine,home_win
2020-11-14,Portugal,France,0,1,European Nations League A,,Portugal,False,Portugal,France,away_win
2020-11-14,Egypt,Togo,1,0,African Nations Cup qualifier,,Egypt,False,Egypt,Togo,home_win
2020-11-14,Saudi Arabia,Jamaica,3,0,Friendly,,Saudi Arabia,False,Saudi Arabia,Jamaica,home_win
2020-11-14,Mexico,South Korea,3,2,Friendly,,Austria,True,Mexico,Korea Republic,home_win
2020-11-14,Switzerland,Spain,1,1,European Nations League A,,Switzerland,False,Switzerland,Spain,draw
2020-11-15,Guinea-Bissau,Senegal,0,1,African Nations Cup qualifier,,Guinea-Bissau,False,Guinea-Bissau,Senegal,away_win
2020-11-15,Slovakia,Scotland,1,0,European Nations League B,,Slovakia,False,Slovakia,Scotland,home_win
2020-11-15,Austria,Northern Ireland,2,1,European Nations League B,,Austria,False,Austria,Northern Ireland,home_win
2020-11-15,Netherlands,Bosnia and Herzegovina,3,1,European Nations League A,,Netherlands,False,Netherlands,Bosnia and Herzegovina,home_win
2020-11-15,Belgium,England,2,0,European Nations League A,,Belgium,False,Belgium,England,home_win
2020-11-16,United States,Panama,6,2,Friendly,,Austria,True,USA,Panama,home_win
2020-11-16,South Africa,São Tomé and Príncipe,4,2,African Nations Cup qualifier,,South Africa,False,South Africa,São Tomé and Príncipe,home_win
2020-11-16,Zimbabwe,Algeria,2,2,African Nations Cup qualifier,,Zimbabwe,False,Zimbabwe,Algeria,draw
2020-11-16,Jordan,Syria,1,0,Friendly,,United Arab Emirates,True,Jordan,Syria,home_win
2020-11-17,Madagascar,Ivory Coast,1,1,African Nations Cup qualifier,,Madagascar,False,Madagascar,Côte d'Ivoire,draw
2020-11-17,Central African Republic,Morocco,0,2,African Nations Cup qualifier,,Cameroon,True,Central African Republic,Morocco,away_win
2020-11-17,Sudan,Ghana,1,0,African Nations Cup qualifier,,Sudan,False,Sudan,Ghana,home_win
2020-11-17,Rwanda,Cape Verde,0,0,African Nations Cup qualifier,,Rwanda,False,Rwanda,Cabo Verde,draw
2020-11-17,Saudi Arabia,Jamaica,1,2,Friendly,,Saudi Arabia,False,Saudi Arabia,Jamaica,away_win
2020-11-17,Tanzania,Tunisia,1,1,African Nations Cup qualifier,,Tanzania,False,Tanzania,Tunisia,draw
2020-11-17,Togo,Egypt,1,3,African Nations Cup qualifier,,Togo,False,Togo,Egypt,away_win
2020-11-17,Iraq,Uzbekistan,2,1,Friendly,,United Arab Emirates,True,Iraq,Uzbekistan,home_win
2020-11-17,Croatia,Portugal,2,3,European Nations League A,,Croatia,False,Croatia,Portugal,away_win
2020-11-17,Mexico,Japan,2,0,Friendly,,Austria,True,Mexico,Japan,home_win
2020-11-17,Uruguay,Brazil,0,2,World Cup qualifier,,Uruguay,False,Uruguay,Brazil,away_win
2020-11-17,Spain,Germany,6,0,European Nations League A,,Spain,False,Spain,Germany,home_win
2020-11-17,Ecuador,Colombia,6,1,World Cup qualifier,,Ecuador,False,Ecuador,Colombia,home_win
2020-11-17,Paraguay,Bolivia,2,2,World Cup qualifier,,Paraguay,False,Paraguay,Bolivia,draw
2020-11-17,Peru,Argentina,0,2,World Cup qualifier,,Peru,False,Peru,Argentina,away_win
2020-11-17,France,Sweden,4,2,European Nations League A,,France,False,France,Sweden,home_win
2020-11-17,South Korea,Qatar,2,1,Friendly,,Austria,True,Korea Republic,Qatar,home_win
2020-11-18,Israel,Scotland,1,0,European Nations League B,,Israel,False,Israel,Scotland,home_win
2020-11-18,England,Iceland,4,0,European Nations League A,,England,False,England,Iceland,home_win
2020-11-18,Poland,Netherlands,1,2,European Nations League A,,Poland,False,Poland,Netherlands,away_win
