date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_team_clean,away_team_clean,result
1990-09-12,Spain,Brazil,3,0,Friendly,,Spain,False,Spain,Brazil,home_win
1990-09-28,Saudi Arabia,Japan,2,0,Asian Games,,China,True,Saudi Arabia,Japan,home_win
1990-10-01,Iran,Japan,1,0,Asian Games,,China,True,IR Iran,Japan,home_win
1990-10-03,Iran,South Korea,1,0,Asian Games,,China,True,IR Iran,Korea Republic,home_win
1990-10-17,Portugal,Netherlands,1,0,European Championship qual,,Portugal,False,Portugal,Netherlands,home_win
1990-10-17,Scotland,Switzerland,2,1,European Championship qual,,Scotland,False,Scotland,Switzerland,home_win
1990-10-17,Croatia,United States,2,1,Friendly,,Croatia,False,Croatia,USA,home_win
1990-11-07,Tunisia,Norway,1,3,Friendly,,Tunisia,False,Tunisia,Norway,away_win
1990-12-12,Brazil,Mexico,0,0,Friendly,,United States,True,Brazil,Mexico,draw
1990-12-18,Algeria,Senegal,1,0,Friendly,,Algeria,False,Algeria,Senegal,home_win
1990-12-19,Morocco,Senegal,0,0,Friendly,,Morocco,False,Morocco,Senegal,draw
1990-12-19,Portugal,United States,1,0,Friendly,,Portugal,False,Portugal,USA,home_win
1990-12-19,Germany,Switzerland,4,0,Friendly,,Germany,False,Germany,Switzerland,home_win
1991-01-13,Morocco,Ivory Coast,3,1,African Nations Cup qualifier,,Morocco,False,Morocco,Côte d'Ivoire,home_win
1991-01-16,Spain,Portugal,1,1,Friendly,,Spain,False,Spain,Portugal,draw
1991-01-29,Mexico,Colombia,0,0,Friendly,,Mexico,False,Mexico,Colombia,draw
1991-02-01,United States,Switzerland,0,1,Friendly tournament,,United States,False,USA,Switzerland,away_win
1991-02-03,Switzerland,Colombia,3,2,Friendly tournament,,United States,True,Switzerland,Colombia,home_win
1991-02-15,Senegal,Ivory Coast,0,0,Friendly tournament,,Senegal,False,Senegal,Côte d'Ivoire,draw
1991-02-17,Senegal,Algeria,2,2,Friendly tournament,,Senegal,False,Senegal,Algeria,draw
1991-02-20,France,Spain,3,1,European Championship qual,,France,False,France,Spain,home_win
1991-02-27,Brazil,Paraguay,1,1,Friendly,,Brazil,False,Brazil,Paraguay,draw
1991-03-05,Algeria,Tunisia,2,1,Friendly,,Algeria,False,Algeria,Tunisia,home_win
1991-03-12,United States,Mexico,2,2,North American Champ,,United States,False,USA,Mexico,draw
1991-03-13,Argentina,Mexico,0,0,Friendly,,Argentina,False,Argentina,Mexico,draw
1991-03-14,Mexico,Canada,3,0,North American Champ,,United States,True,Mexico,Canada,home_win
1991-03-16,United States,Canada,2,0,North American Champ,,United States,False,USA,Canada,home_win
1991-03-27,Argentina,Brazil,3,3,Friendly,,Argentina,False,Argentina,Brazil,draw
1991-04-03,Algeria,Morocco,2,2,Friendly,,Algeria,False,Algeria,Morocco,draw
1991-04-07,Tunisia,Algeria,0,0,Friendly,,Tunisia,False,Tunisia,Algeria,draw
1991-04-14,Tunisia,Egypt,2,2,African Nations Cup qualifier,,Tunisia,False,Tunisia,Egypt,draw
1991-04-17,Austria,Norway,0,0,Friendly,,Austria,False,Austria,Norway,draw
1991-05-01,Germany,Belgium,1,0,European Championship qual,,Germany,False,Germany,Belgium,home_win
1991-05-05,Senegal,Ivory Coast,0,0,CEDEAO Cup qualifier,,Senegal,False,Senegal,Côte d'Ivoire,draw
1991-05-05,United States,Uruguay,1,0,Friendly,,United States,False,USA,Uruguay,home_win
1991-05-07,Uruguay,Mexico,2,0,Friendly tournament,,United States,True,Uruguay,Mexico,home_win
