match_no,date,stage,group,team_a,team_b,team_a_clean,team_b_clean,venue,city,country,neutral
Match 83,2026-07-02,,,Group K runners-up,Group L runners-up,Group K runners-up,Group L runners-up,Toronto Stadium,,,True
Match 84,2026-07-02,,,Group H winners,Group J runners-up,Group H winners,Group J runners-up,Los Angeles Stadium,,,True
Match 85,2026-07-02,,,Group B winners,Group E/F/G/I/J third place,Group B winners,Group E/F/G/I/J third place,BC Place Vancouver,,,True
Match 86,2026-07-03,,,Group J winners,Group H runners-up,Group J winners,Group H runners-up,Miami Stadium,,,True
Match 87,2026-07-03,,,Group K winners,Group D/E/I/J/L third place,Group K winners,Group D/E/I/J/L third place,Kansas City Stadium,,,True
Match 88,2026-07-03,,,Group D runners-up,Group G runners-up,Group D runners-up,Group G runners-up,Dallas Stadium,,,True
Match 89,2026-07-04,,,Winner match 74,Winner match 77,Winner match 74,Winner match 77,Philadelphia Stadium,,,True
Match 90,2026-07-04,,,Winner match 73,Winner match 75,Winner match 73,Winner match 75,Houston Stadium,,,True
Match 91,2026-07-05,,,Winner match 76,Winner match 78,Winner match 76,Winner match 78,New York New Jersey Stadium,,,True
Match 92,2026-07-05,,,Winner match 79,Winner match 80,Winner match 79,Winner match 80,Mexico City Stadium,,,True
Match 93,2026-07-06,,,Winner match 83,Winner match 84,Winner match 83,Winner match 84,Dallas Stadium,,,True
Match 94,2026-07-06,,,Winner match 81,Winner match 82,Winner match 81,Winner match 82,Seattle Stadium,,,True
Match 95,2026-07-07,,,Winner match 86,Winner match 88,Winner match 86,Winner match 88,Atlanta Stadium,,,True
Match 96,2026-07-07,,,Winner match 85,Winner match 87,Winner match 85,Winner match 87,BC Place Vancouver,,,True
Match 97,2026-07-09,,,Winner match 89,Winner match 90,Winner match 89,Winner match 90,Boston Stadium,,,True
Match 98,2026-07-10,,,Winner match 93,Winner match 94,Winner match 93,Winner match 94,Los Angeles Stadium,,,True
Match 99,2026-07-11,,,Winner match 91,Winner match 92,Winner match 91,Winner match 92,Miami Stadium,,,True
Match 100,2026-07-11,,,Winner match 95,Winner match 96,Winner match 95,Winner match 96,Kansas City Stadium,,,True
Match 101,2026-07-14,,,Winner match 97,Winner match 98,Winner match 97,Winner match 98,Dallas Stadium,,,True
Match 102,2026-07-15,,,Winner match 99,Winner match 100,Winner match 99,Winner match 100,Atlanta Stadium,,,True
Match 103,2026-07-18,,,Runner-up match 101,Runner-up match 102,Runner-up match 101,Runner-up match 102,Miami Stadium,,,True
Match 104,2026-07-19,,,Winner match 101,Winner match 102,Winner match 101,Winner match 102,New York New Jersey Stadium,,,True
