date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_team_clean,away_team_clean,result
2001-10-06,Portugal,Estonia,5,0,World Cup qualifier,,Portugal,False,Portugal,Estonia,home_win
2001-10-06,Scotland,Latvia,2,1,World Cup qualifier,,Scotland,False,Scotland,Latvia,home_win
2001-10-06,Armenia,Norway,1,4,World Cup qualifier,,Armenia,False,Armenia,Norway,away_win
2001-10-06,Germany,Finland,0,0,World Cup qualifier,,Germany,False,Germany,Finland,draw
2001-10-06,Bolivia,Ecuador,1,5,World Cup qualifier,,Bolivia,False,Bolivia,Ecuador,away_win
2001-10-06,Russia,Switzerland,4,0,World Cup qualifier,,Russia,False,Russia,Switzerland,home_win
2001-10-06,Croatia,Belgium,1,0,World Cup qualifier,,Croatia,False,Croatia,Belgium,home_win
2001-10-06,England,Greece,2,2,World Cup qualifier,,England,False,England,Greece,draw
2001-10-06,France,Algeria,4,1,Friendly,,France,False,France,Algeria,home_win
2001-10-06,Netherlands,Andorra,4,0,World Cup qualifier,,Netherlands,False,Netherlands,Andorra,home_win
2001-10-07,Brazil,Chile,2,0,World Cup qualifier,,Brazil,False,Brazil,Chile,home_win
2001-10-07,Paraguay,Argentina,2,2,World Cup qualifier,,Paraguay,False,Paraguay,Argentina,draw
2001-10-07,Uruguay,Colombia,1,1,World Cup qualifier,,Uruguay,False,Uruguay,Colombia,draw
2001-10-07,Costa Rica,Mexico,0,0,World Cup qualifier,,Costa Rica,False,Costa Rica,Mexico,draw
2001-10-07,United States,Jamaica,2,1,World Cup qualifier,,United States,False,USA,Jamaica,home_win
2001-10-07,Japan,Nigeria,2,2,Friendly,,England,True,Japan,Nigeria,draw
2001-10-12,Iran,Iraq,2,1,World Cup qualifier,,Iran,False,IR Iran,Iraq,home_win
2001-10-12,Morocco,Gambia,2,0,Friendly tournament,,Mali,True,Morocco,Gambia,home_win
2001-10-13,China,Qatar,3,0,World Cup qualifier,,China,False,China,Qatar,home_win
2001-10-13,Oman,Uzbekistan,4,2,World Cup qualifier,,Oman,False,Oman,Uzbekistan,home_win
2001-10-14,Mali,Morocco,2,1,Friendly tournament,,Mali,False,Mali,Morocco,home_win
2001-10-16,Algeria,Burkina Faso,2,0,Friendly,,Algeria,False,Algeria,Burkina Faso,home_win
2001-10-18,Kuwait,Qatar,0,1,Friendly,,Kuwait,False,Kuwait,Qatar,away_win
2001-10-19,Uzbekistan,China,1,0,World Cup qualifier,,Uzbekistan,False,Uzbekistan,China,home_win
2001-10-21,Bahrain,Iran,3,1,World Cup qualifier,,Bahrain,False,Bahrain,IR Iran,home_win
2001-10-21,Saudi Arabia,Thailand,4,1,World Cup qualifier,,Saudi Arabia,False,Saudi Arabia,Thailand,home_win
2001-10-21,Bahamas,Haiti,0,2,Friendly,,Bahamas,False,Bahamas,Haiti,away_win
2001-10-25,Iran,United Arab Emirates,1,0,World Cup qualifier,,Iran,False,IR Iran,United Arab Emirates,home_win
2001-10-27,Israel,Austria,1,1,World Cup qualifier,,Israel,False,Israel,Austria,draw
2001-10-31,United Arab Emirates,Iran,0,3,World Cup qualifier,,United Arab Emirates,False,United Arab Emirates,IR Iran,away_win
2001-10-31,Mexico,El Salvador,4,1,Friendly,,Mexico,False,Mexico,El Salvador,home_win
2001-11-07,Bolivia,Brazil,3,1,World Cup qualifier,,Bolivia,False,Bolivia,Brazil,home_win
2001-11-07,Colombia,Chile,3,1,World Cup qualifier,,Colombia,False,Colombia,Chile,home_win
2001-11-07,Ecuador,Uruguay,1,1,World Cup qualifier,,Ecuador,False,Ecuador,Uruguay,draw
2001-11-07,Cape Verde,Gambia,1,1,Amilcar Cabral Cup,,Mali,True,Cabo Verde,Gambia,draw
2001-11-07,Japan,Italy,1,1,Friendly,,Japan,False,Japan,Italy,draw
2001-11-08,Argentina,Peru,2,0,World Cup qualifier,,Argentina,False,Argentina,Peru,home_win
2001-11-08,South Korea,Senegal,0,1,Friendly,,South Korea,False,Korea Republic,Senegal,away_win
2001-11-08,Venezuela,Paraguay,3,1,World Cup qualifier,,Venezuela,False,Venezuela,Paraguay,home_win
2001-11-10,Ukraine,Germany,1,1,World Cup qualifier,,Ukraine,False,Ukraine,Germany,draw
2001-11-10,Denmark,Netherlands,1,1,Friendly,,Denmark,False,Denmark,Netherlands,draw
2001-11-10,Belgium,Czechia,1,0,World Cup qualifier,,Belgium,False,Belgium,Czechia,home_win
2001-11-10,England,Sweden,1,1,Friendly,,England,False,England,Sweden,draw
2001-11-10,South Africa,Egypt,1,0,Friendly,,South Africa,False,South Africa,Egypt,home_win
2001-11-10,South Korea,Croatia,2,0,Friendly,,South Korea,False,Korea Republic,Croatia,home_win
2001-11-10,Ireland,Iran,2,0,World Cup qualifier,,Ireland,False,Ireland,IR Iran,home_win
2001-11-10,Austria,Turkey,0,1,World Cup qualifier,,Austria,False,Austria,Türkiye,away_win
2001-11-11,Mexico,Honduras,3,0,World Cup qualifier,,Mexico,False,Mexico,Honduras,home_win
2001-11-11,Australia,France,1,1,Friendly,,Australia,False,Australia,France,draw
2001-11-11,Trinidad and Tobago,United States,0,0,World Cup qualifier,,Trinidad and Tobago,False,Trinidad and Tobago,USA,draw
2001-11-13,South Korea,Croatia,1,1,Friendly,,South Korea,False,Korea Republic,Croatia,draw
2001-11-14,Germany,Ukraine,4,1,World Cup qualifier,,Germany,False,Germany,Ukraine,home_win
2001-11-14,Czechia,Belgium,0,1,World Cup qualifier,,Czechia,False,Czechia,Belgium,away_win
2001-11-14,Turkey,Austria,5,0,World Cup qualifier,,Turkey,False,Türkiye,Austria,home_win
2001-11-14,Brazil,Venezuela,3,0,World Cup qualifier,,Brazil,False,Brazil,Venezuela,home_win
2001-11-14,Chile,Ecuador,0,0,World Cup qualifier,,Chile,False,Chile,Ecuador,draw
2001-11-14,Uruguay,Argentina,1,1,World Cup qualifier,,Uruguay,False,Uruguay,Argentina,draw
2001-11-14,Spain,Mexico,1,0,Friendly,,Spain,False,Spain,Mexico,home_win
2001-11-14,Malta,Canada,2,1,Friendly,,Malta,False,Malta,Canada,home_win
2001-11-14,Portugal,Angola,5,1,Friendly,,Portugal,False,Portugal,Angola,home_win
2001-11-14,Morocco,Zambia,1,0,Friendly,,Morocco,False,Morocco,Zambia,home_win
2001-11-14,Paraguay,Colombia,0,4,World Cup qualifier,,Paraguay,False,Paraguay,Colombia,away_win
2001-11-15,Iran,Ireland,1,0,World Cup qualifier,,Iran,False,IR Iran,Ireland,home_win
2001-11-20,Australia,Uruguay,1,0,World Cup qualifier,,Australia,False,Australia,Uruguay,home_win
2001-11-25,Uruguay,Australia,3,0,World Cup qualifier,,Uruguay,False,Uruguay,Australia,home_win
2001-11-28,Tunisia,Togo,1,0,Friendly,,Tunisia,False,Tunisia,Togo,home_win
2001-12-05,Algeria,Ghana,1,1,Friendly,,Algeria,False,Algeria,Ghana,draw
2001-12-05,Mali,Ivory Coast,0,3,Friendly,,Mali,False,Mali,Côte d'Ivoire,away_win
2001-12-09,South Korea,United States,1,0,Friendly,,South Korea,False,Korea Republic,USA,home_win
2001-12-12,Morocco,Mali,1,1,Friendly,,Morocco,False,Morocco,Mali,draw
2001-12-15,El Salvador,Haiti,0,0,Friendly,,United States,True,El Salvador,Haiti,draw
2001-12-25,Mali,Ghana,1,1,Friendly,,Mali,False,Mali,Ghana,draw
2001-12-26,Senegal,Burkina Faso,2,4,Friendly,,Senegal,False,Senegal,Burkina Faso,away_win
2001-12-30,Saudi Arabia,Zimbabwe,0,2,Friendly,,Saudi Arabia,False,Saudi Arabia,Zimbabwe,away_win
2001-12-30,Qatar,Egypt,2,2,Friendly,,Qatar,False,Qatar,Egypt,draw
2001-12-30,Tunisia,Liberia,7,2,Friendly,,Tunisia,False,Tunisia,Liberia,home_win
2001-12-30,Senegal,Algeria,1,0,Friendly,,Senegal,False,Senegal,Algeria,home_win
