team_a,team_b,date,tournament,neutral,team_a_matches_last5,team_b_matches_last5,team_a_win_rate_last5,team_b_win_rate_last5,team_a_draw_rate_last5,team_b_draw_rate_last5,team_a_loss_rate_last5,team_b_loss_rate_last5,team_a_points_per_match_last5,team_b_points_per_match_last5,team_a_matches_last10,team_b_matches_last10,team_a_win_rate_last10,team_b_win_rate_last10,team_a_draw_rate_last10,team_b_draw_rate_last10,team_a_loss_rate_last10,team_b_loss_rate_last10,team_a_avg_goals_scored_last10,team_b_avg_goals_scored_last10,team_a_avg_goals_conceded_last10,team_b_avg_goals_conceded_last10,team_a_avg_goal_diff_last10,team_b_avg_goal_diff_last10,team_a_points_per_match_last10,team_b_points_per_match_last10,win_rate_diff_last10,points_per_match_diff_last10,avg_goals_scored_diff_last10,avg_goals_conceded_diff_last10,avg_goal_diff_diff_last10,h2h_matches,team_a_h2h_win_rate,team_b_h2h_win_rate,h2h_draw_rate,team_a_h2h_avg_goals,team_b_h2h_avg_goals,match_no,stage,group,venue,city,country
Netherlands,Japan,2026-06-14,FIFA World Cup 2026,True,5,5,0.6,1.0,0.2,0.0,0.2,0.0,2.0,3.0,10,10,0.6,0.7,0.3,0.2,0.1,0.1,2.2,1.4,0.8,0.6,1.4,0.8,2.1,2.3,-0.09999999999999998,-0.19999999999999973,0.8000000000000003,0.20000000000000007,0.5999999999999999,3,0.6666666666666666,0.0,0.3333333333333333,2.0,0.6666666666666666,Match 11,,Group F,Dallas Stadium,,
Albania/Poland/Sweden/Ukraine,Tunisia,2026-06-14,FIFA World Cup 2026,True,0,5,0.0,0.2,0.0,0.4,0.0,0.4,0.0,1.0,0,10,0.0,0.4,0.0,0.3,0.0,0.3,0.0,1.3,0.0,1.3,0.0,0.0,0.0,1.5,-0.4,-1.5,-1.3,-1.3,0.0,0,0.0,0.0,0.0,0.0,0.0,Match 12,,Group F,Estadio Monterrey,,
Saudi Arabia,Uruguay,2026-06-15,FIFA World Cup 2026,True,5,5,0.2,0.2,0.2,0.6,0.6,0.2,0.8,1.2,10,10,0.3,0.4,0.2,0.4,0.5,0.2,1.0,1.0,1.2,0.9,-0.2,0.1,1.1,1.6,-0.10000000000000003,-0.5,0.0,0.29999999999999993,-0.30000000000000004,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.3333333333333333,Match 13,,Group H,Miami Stadium,,
Spain,Cabo Verde,2026-06-15,FIFA World Cup 2026,True,5,5,0.4,0.4,0.6,0.4,0.0,0.2,1.8,1.6,10,10,0.7,0.5,0.3,0.4,0.0,0.1,2.8,1.9,0.4,0.9,2.4,1.0,2.4,1.9,0.19999999999999996,0.5,0.8999999999999999,-0.5,1.4,0,0.0,0.0,0.0,0.0,0.0,Match 14,,Group H,Atlanta Stadium,,
IR Iran,New Zealand,2026-06-15,FIFA World Cup 2026,True,5,5,0.8,0.2,0.0,0.0,0.2,0.8,2.4,0.6,10,10,0.5,0.1,0.2,0.1,0.3,0.8,2.0,0.7,0.7,1.8,1.3,-1.1,1.7,0.4,0.4,1.2999999999999998,1.3,-1.1,2.4000000000000004,1,1.0,0.0,0.0,3.0,0.0,Match 15,,Group G,Los Angeles Stadium,,
Belgium,Egypt,2026-06-15,FIFA World Cup 2026,True,5,5,0.8,0.4,0.2,0.4,0.0,0.2,2.6,1.6,10,10,0.7,0.5,0.3,0.3,0.0,0.2,3.7,1.3,0.6,0.6,3.1,0.7,2.4,1.8,0.19999999999999996,0.5999999999999999,2.4000000000000004,0.0,2.4000000000000004,4,0.25,0.75,0.0,1.0,1.75,Match 16,,Group G,Seattle Stadium,,
France,Senegal,2026-06-16,FIFA World Cup 2026,True,5,5,0.8,0.6,0.0,0.2,0.2,0.2,2.4,2.0,10,10,0.8,0.7,0.1,0.2,0.1,0.1,2.5,1.7,0.9,0.6,1.6,1.1,2.5,2.3,0.10000000000000009,0.20000000000000018,0.8,0.30000000000000004,0.5,1,0.0,1.0,0.0,0.0,1.0,Match 17,,Group I,New York New Jersey Stadium,,
Bolivia/Iraq/Suriname,Norway,2026-06-16,FIFA World Cup 2026,True,0,5,0.0,0.4,0.0,0.4,0.0,0.2,0.0,1.6,0,10,0.0,0.6,0.0,0.3,0.0,0.1,0.0,3.1,0.0,0.8,0.0,2.3,0.0,2.1,-0.6,-2.1,-3.1,-0.8,-2.3,0,0.0,0.0,0.0,0.0,0.0,Match 18,,Group I,Boston Stadium,,
Argentina,Algeria,2026-06-16,FIFA World Cup 2026,True,5,5,1.0,0.6,0.0,0.2,0.0,0.2,3.0,2.0,10,10,0.8,0.7,0.1,0.2,0.1,0.1,2.5,1.9,0.3,0.4,2.2,1.5,2.5,2.3,0.10000000000000009,0.20000000000000018,0.6000000000000001,-0.10000000000000003,0.7000000000000002,1,1.0,0.0,0.0,4.0,3.0,Match 19,,Group J,Kansas City Stadium,,
Austria,Jordan,2026-06-16,FIFA World Cup 2026,True,5,5,0.8,0.0,0.2,0.6,0.0,0.4,2.6,0.6,10,10,0.8,0.3,0.1,0.4,0.1,0.3,2.7,1.6,0.4,1.7,2.3,-0.1,2.5,1.3,0.5,1.2,1.1,-1.2999999999999998,2.4,0,0.0,0.0,0.0,0.0,0.0,Match 20,,Group J,San Francisco Bay Area Stadium,,
